OBJECTID,METER_ID,VENDOR,PAY_POLICY,PARK_NO_PAY,TOW_AWAY,BLK_NO,STREET,LONGITUDE,LATITUDE,G_DISTRICT,G_SUBZONE,G_ZONE,BASE_RATE
2193,,IPS,08:00AM-08:00PM MON-SAT $0.25 120,"00:00AM-24:00AM SUN, 00:00AM-08:00AM MON-SAT, 08:00PM-24:00AM MON-SAT",,CHAN,COLUMBUS AV,-71.073342,42.347544,DISTRICT 0,0CD,CD,0.25
2194,,IPS,08:00AM-08:00PM MON-SAT $0.25 120,"00:00AM-24:00AM SUN, 00:00AM-08:00AM MON-SAT, 08:00PM-24:00AM MON-SAT",,CLAR,COLUMBUS AV,-71.073827,42.347147,DISTRICT 0,0CD,CD,0.25
2195,,IPS,08:00AM-08:00PM MON-SAT $0.25 120,"00:00AM-24:00AM SUN, 00:00AM-08:00AM MON-SAT, 08:00PM-24:00AM MON-SAT",,CLAR,COLUMBUS AV,-71.073897,42.347091,DISTRICT 0,0CD,CD,0.25
2196,,IPS,08:00AM-08:00PM MON-SAT $0.25 120,"00:00AM-24:00AM SUN, 00:00AM-08:00AM MON-SAT, 08:00PM-24:00AM MON-SAT",,CLAR,COLUMBUS AV,-71.073967,42.347034,DISTRICT 0,0CD,CD,0.25
2197,,IPS,08:00AM-08:00PM MON-SAT $0.25 120,"00:00AM-24:00AM SUN, 00:00AM-08:00AM MON-SAT, 08:00PM-24:00AM MON-SAT",,CLAR,COLUMBUS AV,-71.074036,42.346978,DISTRICT 0,0CD,CD,0.25
2198,,IPS,08:00AM-08:00PM MON-SAT $0.25 120,"00:00AM-24:00AM SUN, 00:00AM-08:00AM MON-SAT, 08:00PM-24:00AM MON-SAT",,CLAR,COLUMBUS AV,-71.074106,42.346922,DISTRICT 0,0CD,CD,0.25
2199,,IPS,08:00AM-08:00PM MON-SAT $0.25 120,"00:00AM-24:00AM SUN, 00:00AM-08:00AM MON-SAT, 08:00PM-24:00AM MON-SAT",,CLAR,COLUMBUS AV,-71.074176,42.346865,DISTRICT 0,0CD,CD,0.25
2200,,IPS,08:00AM-08:00PM MON-SAT $0.25 120,"00:00AM-24:00AM SUN, 00:00AM-08:00AM MON-SAT, 08:00PM-24:00AM MON-SAT",,CLAR,COLUMBUS AV,-71.074246,42.346809,DISTRICT 0,0CD,CD,0.25
2201,,IPS,08:00AM-08:00PM MON-SAT $0.25 120,"00:00AM-24:00AM SUN, 00:00AM-08:00AM MON-SAT, 08:00PM-24:00AM MON-SAT",,CLAR,COLUMBUS AV,-71.074316,42.346752,DISTRICT 0,0CD,CD,0.25
2202,,IPS,08:00AM-08:00PM MON-SAT $0.25 120,"00:00AM-24:00AM SUN, 00:00AM-08:00AM MON-SAT, 08:00PM-24:00AM MON-SAT",,CLAR,COLUMBUS AV,-71.074385,42.346696,DISTRICT 0,0CD,CD,0.25
